state,action,utility
"[-0.04340335372915267, 0.6680347593156041, 0.5805934771731586]","[12.002633376163608, 11.936988408552933]",1.0
"[0.09030830396043647, 0.6882267740306784, 0.4280247135573335]","[19.684802207288705, 19.692467826238975]",0.9333333333333333
"[0.09030830396043647, 0.6882267740306784, 0.4280247135573335]","[19.997940953396736, 20.037974665929656]",0.8666666666666667
"[0.12721295825093604, 0.5659155487795274, 0.41739867134103614]","[18.1029894313605, 17.395040702016946]",0.8
"[0.12721285746395705, 0.5659155126822225, 0.41739878428668653]","[18.938658658259403, 18.54190130435244]",0.7333333333333334
"[0.1825120570060772, 0.48818300562923406, 0.4304495684289732]","[14.842242120869162, 15.583602914011491]",0.6666666666666667
"[0.2503834775630379, 0.4159506977063537, 0.45395635637102316]","[11.743305091203714, 11.770923867262429]",0.6
"[0.27825326106376225, 0.37123661458648977, 0.486021433384939]","[16.00290399804033, 2.6051956797071725]",0.5333333333333333
"[0.2826385436261705, 0.3530551304842941, 0.5041097449402548]","[14.163295300770804, 7.652088113828164]",0.4666666666666667
"[0.2867297530071178, 0.32884338822722775, 0.5303614556567577]","[13.051825803248743, 10.440629365201469]",0.4
"[0.28692534394310637, 0.28408672170122456, 0.5918197733705489]","[15.962256927578757, 2.6526487515390924]",0.33333333333333337
"[0.28692905155984855, 0.28408275767170793, 0.5918221137594308]","[18.00025842095105, 2.2548785955969675]",0.2666666666666667
"[0.2176803300807384, 0.3314879832629678, 0.6056071941202545]","[16.157888725530313, 3.6934684230952075]",0.19999999999999996
"[0.19151538306005267, 0.36334011557632406, 0.5837145998069462]","[18.798214553344813, 3.0969199614232146]",0.1333333333333333
"[0.1835911399938871, 0.37688334735049517, 0.5695185337853286]","[12.56367218568178, 6.017598605581793]",0.06666666666666665
"[0.05340405555920506, 0.6865316505114126, 0.46899284698754673]","[11.616087191889239, 2.9363776336827074]",1.0
"[0.06410528064154096, 0.6878125667191853, 0.4572811417475632]","[6.920803378789109, 4.583758975204086]",0.9333333333333333
"[0.11971361814368904, 0.6906632429423062, 0.3962833910861221]","[15.66044351373495, 12.321310131444694]",0.8666666666666667
"[0.11971368935705588, 0.6906633714838659, 0.396283340448078]","[8.82895790826642, 3.3179462376663515]",0.8
"[0.13559715025465768, 0.6892819659059005, 0.3788357349645485]","[6.8305213443539365, 0.5881884320265218]",0.7333333333333334
"[0.14473651926715742, 0.6857577040281567, 0.3686365665026684]","[7.805398542948671, 1.317708233748951]",0.6666666666666667
"[0.15451671604212913, 0.6763741503831412, 0.357902885032764]","[2.2981573006490983, 18.249038164831724]",0.6
"[0.23882647267611085, 0.7008578360586611, 0.27189351167166453]","[19.10856841784194, 1.3379085531540647]",0.5333333333333333
"[0.3014209465376877, 0.7380410641453934, 0.20773261649589234]","[19.415854506109845, 1.6164473676857294]",0.4666666666666667
"[0.3147405269969171, 0.7359958894548758, 0.1944457805816122]","[9.273558878725893, 10.695548195857194]",0.4
"[0.343410891622039, 0.7326745485696499, 0.168009965632094]","[7.285974610118602, 3.289623996481157]",0.33333333333333337
"[0.3434080770024517, 0.7326702700025146, 0.16801342052739257]","[13.045465123340882, 12.099687867819277]",0.2666666666666667
"[0.3770339032987938, 0.7244678602539024, 0.14373541773067003]","[17.75412542748048, 6.744459615388281]",0.19999999999999996
"[0.4221114137252569, 0.6611034561778061, 0.17017042746466823]","[12.1335552626018, 9.73621366848963]",0.1333333333333333
"[0.4221115737322881, 0.6611035757966741, 0.17017029415015913]","[19.672826023410373, 3.6866651724683153]",0.06666666666666665
